state,year,visitors_000,log_population,log_gdp_total,log_gdp_services,services_share,log_gdp_per_capita,log_rooms,rooms_per_1k_residents,log_lf_employed,u_rate,p_rate,cpi_accom_food_rel,cpi_recreation_rel
Kelantan,2019,10986.0,7.5410462923887165,10.14561684856917,9.771975034897084,0.688223379890827,9.51232583516259,8.38022733634308,2.3144707506104685,6.525542722684123,4.875,59.225,0.9257632696175019,0.9618478036708599
Melaka,2019,13979.0,6.833462674400282,10.682431554061052,9.948352738331455,0.4799473753732414,10.756724158642907,9.801177933711559,19.44743644980612,6.064017739789691,1.55,67.975,0.9875154888378801,1.0156170906841149
Negeri Sembilan,2019,13303.0,7.026604412820518,10.779655087340874,10.087365106471742,0.500428783595734,10.660805953502493,9.163458386076051,8.472740188243652,6.20050917404269,2.55,65.425,0.9783501594588555,1.0328652580663304
Pahang,2019,18498.0,7.421416877567336,10.97565955732568,10.316161315744827,0.5171107340727474,10.461997958740481,10.150386692204734,15.317099437597223,6.585343726009258,2.8,66.625,0.9415588372707143,0.960347963028928
Perak,2019,21070.0,7.827559830156089,11.238392667296804,10.778343477158655,0.6312525933409294,10.318588116122852,9.708141544619421,6.557318239795918,6.94812917312041,4.35,64.15,0.9842003697007861,0.9767712180580813
Perlis,2019,2088.0,5.537334267018537,8.724424247847972,8.312607129790916,0.6624454142792441,10.094845259811574,7.126890808898808,4.9015748031496065,4.695696212687462,3.625,65.19999999999999,0.9780251477787482,1.011567520950899
Pulau Pinang,2019,15411.0,7.478056629543237,11.457892048194479,10.792314195324462,0.5139764391176864,10.88759069763338,10.051260796825561,13.107756671189508,6.732627782768423,1.975,67.475,1.0367872595421397,0.995669210146422
Sabah,2019,22035.0,8.26985940130081,11.357927476278178,10.582243347089742,0.46038870788280795,9.995823353959505,10.060576767778903,5.993750640303247,7.5650939183032895,5.875,70.725,1.048682687034065,1.047938656517745
Sarawak,2019,19793.0,7.939515260662406,11.82597687707852,10.794686543178672,0.35654659945909,10.79421689539825,9.922652721797139,7.265502494654312,7.1706963001704125,3.225,68.075,0.9881005098620731,0.943924707999775
Terengganu,2019,14158.0,7.126489121807647,10.491288661778372,9.826005517706351,0.5141279348187193,10.272554818952862,9.288134399416203,8.685415829650463,6.1576673079593816,3.625,61.224999999999994,0.9190030266712709,0.9562983932957123
W.P. Kuala Lumpur,2019,22633.0,7.485772152288451,12.362194351608341,12.232377898580078,0.8782566174700017,11.784177478302027,10.727136541160231,25.56858345021038,6.735275136219039,2.625,70.0,1.0328871193808526,1.0032434053881776
W.P. Labuan,2019,524.0,4.598145571051127,8.938960428132718,8.682304328239647,0.7736342209141801,11.248570136063728,7.436617265234227,17.089627391742194,3.717831276063704,4.05,61.925,1.0064311686201222,1.0633870151296425
Johor,2023,15804.89,8.320496810116875,11.909754885968999,11.294573080165357,0.5405426125913173,10.49701335483426,10.347660421747342,7.592520451889365,7.526151973328094,2.45,70.35,1.0397229459882769,1.0510638681037665
Kedah,2023,13444.055,7.69133713701329,10.857018402864757,10.282899881780363,0.5632010999610364,10.073436544833603,9.484481173861296,6.00831315945736,6.948897222313312,2.45,66.55,0.9627990304563179,1.0065461879935529
Kelantan,2023,7549.37,7.528224234044097,10.228256139281159,9.896915805834432,0.717960781388938,9.6077871842192,8.38022733634308,2.3443381008710613,6.662973040845577,3.9749999999999996,61.625,0.8955269440840755,0.9477655618286105
Melaka,2023,15558.661,6.935662232235145,10.755078897001093,10.087596344606556,0.5129984001693286,10.727171943748086,9.810439811486056,17.721482057765243,6.095824562432225,2.75,66.95,0.9586708384663185,0.9989825044796815
Negeri Sembilan,2023,14959.47,7.11061448699364,10.857596591574897,10.221102350030055,0.5291442280090757,10.654737383563393,9.16282938930513,7.785125316352355,6.251663006373203,2.4,67.225,0.9286106235532249,1.0154785380480293
Pahang,2023,16455.567,7.4044008391742935,11.082069869313601,10.430585136947174,0.5212712536215709,10.585424309121445,10.151284691288994,15.59396299902629,6.610830625163423,2.65,65.625,0.9352389881568857,0.9492782985313847
Perak,2023,17107.518,7.840391689392378,11.32284244177051,10.867831643872448,0.6344411172807312,10.390206031360268,9.708080756193517,6.473319691484338,6.99110788750068,3.25,64.975,0.990940508247299,1.0025122234528216
Perlis,2023,1950.771,5.680513847716846,8.75533853108558,8.404754350080628,0.7042765445424266,9.982579962350869,7.126890808898808,4.247697031729785,4.763881877142913,2.175,66.0,0.9887891969285669,1.0728904976723665
Pulau Pinang,2023,13127.587,7.480202674304298,11.661202865093307,10.927529533985,0.48014202611425827,11.088755469771145,10.087224773471245,13.55861446462823,6.8365009236958345,2.125,72.225,1.0364669072356012,0.9749948224785471
Sabah,2023,16080.074,8.187772037381718,11.332253898193763,10.656525721163185,0.5087857995523377,10.052237139794181,10.061345637151708,6.511524452970779,7.622260249494726,7.525,70.675,1.0710623189827784,1.04213151804929
Sarawak,2023,17901.19,7.824965587915676,11.86892159256527,10.909145439374722,0.382978604919598,10.951711283631731,9.959016862328609,8.449026895256363,7.251291790468135,3.45,69.9,0.9904172163049048,0.9374645452335287
Selangor,2023,27579.478,8.883182620536761,12.916042153957502,12.42267848047291,0.6105691808629488,10.940614812402877,10.12523012293471,3.462696089989875,8.240767527220155,2.425,76.7,1.0995526580686892,1.0522884644822028
Terengganu,2023,11760.516,7.098375638590786,10.55150759933163,9.900126109210523,0.5213250736144162,10.360887239722981,9.318207742845189,9.205785123966942,6.21555764745778,4.425,60.225,0.9123304297898472,0.9554733155046509
W.P. Kuala Lumpur,2023,22232.643,7.603748405992001,12.376596595932634,12.29637366861258,0.922910581469601,11.680603468922769,10.761661764674606,23.521463828089942,6.7433227550239225,3.325,73.325,1.0285012410013772,0.9988384343175126
W.P. Labuan,2023,331.36,4.59511985013459,9.002691530229955,8.768788291416262,0.7914383927084602,11.315326959077503,7.436617265234227,17.141414141414142,3.8416005411316,6.75,66.525,0.9500074496422354,1.055097832644498
W.P. Putrajaya,2023,1900.379,4.777441406928545,9.474869138372165,9.438470509577094,0.9642558367181144,11.605183010425758,7.478169694159785,14.890572390572391,3.6454498961866,0.825,75.825,1.2113627030936003,0.9391933871795564
Johor,2024,17138.338,8.339118603469606,11.97255208885017,11.352746806665055,0.5380491951588431,10.541188764362703,10.347660421747342,7.452442405123794,7.64025537549465,2.25,71.52499999999999,1.0302695202307457,1.03917620663867
Kedah,2024,14651.4879543306,7.703955314598164,10.898617301785384,10.319663758146726,0.5604845824439711,10.102417266169356,9.484481173861296,5.932975508547202,6.872283529673884,2.5,66.39999999999999,0.9782601805253759,1.003349868793118
Kelantan,2024,10514.411,7.5432203792009975,10.261127660554125,9.930909461596372,0.7187668821356034,9.625662560335265,8.38022733634308,2.309444356162932,6.547036455286382,3.95,59.275,0.8861873082842341,0.9328300417295413
Melaka,2024,19128.405,6.953397636860839,10.79639094008653,10.133306652710827,0.5152596722792129,10.750748582207828,9.810439811486056,17.409955096971434,6.234900801689954,1.9500000000000002,69.9,0.9358300258144948,0.9927294129100491
Negeri Sembilan,2024,17784.532,7.122463351475245,10.902928724231813,10.265652110931157,0.5287304024141669,10.688220651738705,9.16282938930513,7.693424768051634,6.319958614030018,2.875,67.375,0.9253492704675839,1.0267148717358692
Pahang,2024,20173.876,7.419200710627534,11.138290602903453,10.479167841210982,0.5173049352104868,10.626845171258056,10.151284691288994,15.36487377825748,6.600924365469373,2.1750000000000003,64.75,0.9369569887550229,0.9411848003575553
Perak,2024,21776.217,7.85142768759751,11.369285298998332,10.910441648104621,0.6320140520072873,10.42561289038296,9.708080756193517,6.402272904179964,7.052656168234863,3.325,67.475,0.9925726098700822,0.9978980347731427
Perlis,2024,3225.428,5.693058511293225,8.786416035806873,8.436084866173921,0.7044547570611731,10.001112803495785,7.126890808898808,4.1947439353099725,4.870223140379511,4.0,62.975,0.9945447950160065,1.0804543785041973
Pulau Pinang,2024,16604.803,7.49581968308893,11.707152848629049,10.975471978892186,0.4810996442458614,11.119088444522255,10.087224773471245,13.348514301582894,6.8307932378455085,2.225,71.75,1.0481318828381152,1.003066656636236
Sabah,2024,20591.813,8.227375506834035,11.34457798241032,10.697207292261945,0.523420202969223,10.024957754558423,10.061345637151708,6.258685195082843,7.446468406235018,7.55,70.875,1.0701076601784123,1.0244491744808146
Sarawak,2024,19625.552,7.831021624592718,11.906244797532556,10.956205228376932,0.38672572074151745,10.982978451921976,9.959016862328609,8.398013902681232,7.101573000914518,3.275,70.075,0.9914456469295542,0.9407599821222327
Selangor,2024,34460.8280456694,8.904181992276797,12.978331102423825,12.483605900006522,0.6097384389257049,10.981904389129166,10.12523012293471,3.3907398101240034,8.289150157213713,2.375,76.925,1.100873748454828,1.052628784090557
Terengganu,2024,14460.728,7.115988217560592,10.595411585355773,9.940090467243005,0.5192752871109644,10.387178646777317,9.318207742845189,9.045066991473812,6.170917409797458,3.4,60.775,0.9095717893001912,0.9411139973183349
W.P. Kuala Lumpur,2024,26982.957,7.634095426897846,12.4369735347463,12.350517094795078,0.9171755001240818,11.71063338683059,10.761661764674606,22.81837968561064,7.050144202601212,2.9,75.375,1.0320726609355904,1.010784187911266
W.P. Labuan,2024,449.63,4.613138355637268,9.054062865388783,8.830218250285329,0.7994393455188444,11.348679788733653,7.436617265234227,16.835317460317462,3.787026515253461,6.2,67.15,0.9826553359934355,1.058647042424296
W.P. Putrajaya,2024,2556.836,4.789988622980633,9.525332482228922,9.487479866230954,0.9628548398337966,11.643099138230426,7.478169694159785,14.704904405652536,4.09016919081162,1.725,78.8,1.1851705764063265,0.9542125595741198
Johor,2025,18196.973,8.343815518583586,12.04911170060441,11.446868265891533,0.547581793070864,10.61305146100296,10.347660421747342,7.417520991413143,7.666097015441784,2.4,71.76666666666667,1.0348316071955581,1.0407015887172222
Kedah,2025,15607.884,7.708455569706803,10.938504643885704,10.358021770031874,0.5596280715478353,10.137804353161037,9.484481173861296,5.906335593372548,6.888130635845837,2.466666666666667,66.3,0.9760262455302297,1.0130017749565003
Kelantan,2025,12062.016,7.553234165840581,10.30144998583558,9.969900659289664,0.7178107482186351,9.655971098977135,8.38022733634308,2.2864334784204727,6.570369291684567,4.3999999999999995,59.666666666666664,0.876809356147178,0.9278738119595344
Melaka,2025,20832.201530282,6.9584483932976555,10.825482206075694,10.179980193641706,0.5243992210875505,10.774789091760177,9.810439811486056,17.322243346007603,6.251068595424966,2.1666666666666665,69.2,0.9382502522288798,0.9819444080126607
Negeri Sembilan,2025,19356.545,7.126006884215919,10.928942793701399,10.295088191536626,0.5305428230322323,10.710691188467617,9.16282938930513,7.666211110217863,6.3372386252449715,2.9,67.26666666666667,0.9444547395007584,1.0347559216221178
Pahang,2025,23161.166,7.424642494126723,11.1699037049692,10.527831691804517,0.5262009983135124,10.653016489824614,10.151284691288994,15.28148854961832,6.645524338959881,1.8,66.06666666666666,0.9364383223176231,0.9415838207905988
Perak,2025,23642.055,7.853138685059564,11.424415281695042,10.94376308044499,0.6183799520807411,10.479031875617615,9.708080756193517,6.391327997513404,7.06726301271041,3.4333333333333336,67.46666666666667,0.9858545926246217,0.9880999221817099
Perlis,2025,3755.682,5.6937321388027,8.806210621880512,8.467000554241139,0.7123327953022773,10.020233762059949,7.126890808898808,4.191919191919192,4.892101977049168,3.266666666666667,63.23333333333333,0.9758066176621986,1.0830207486294363
Pulau Pinang,2025,17717.979,7.497927983914253,11.777467241551863,11.016007266415611,0.46698414383384346,11.187294536619747,10.087224773471245,13.320401263647952,6.834610944944134,2.566666666666667,71.2,1.0587710448109484,1.0051674841958922
Sabah,2025,22361.168,8.230710399539939,11.393848575145421,10.740892099373218,0.5205046403588152,10.07089345458762,10.061345637151708,6.237847915834332,7.500861105361856,6.2,70.43333333333334,1.0908367135434898,1.0223049952347227
Sarawak,2025,22721.527,7.835539704567506,11.94152908111265,11.00859001770442,0.3933957944265737,11.01374465552728,9.959016862328609,8.360156589821662,7.103486522686009,3.3000000000000003,69.63333333333334,0.9935964749727181,0.9390656559032604
Selangor,2025,36376.442,8.91041026430249,13.039228798820332,12.542126744744124,0.608290902077306,11.03657381349998,10.12523012293471,3.369686989620311,8.318294998217482,1.9666666666666668,78.03333333333335,1.1109326634683359,1.0449684792207679
Terengganu,2025,15462.278,7.127533172820045,10.611439918464558,9.975765841125009,0.5295783911825354,10.39166202462665,9.318207742845189,8.941242575052176,6.192566967545312,2.8666666666666667,60.699999999999996,0.9194720695122202,0.9394154010265019
W.P. Kuala Lumpur,2025,35059.9331815272,7.63781281356218,12.487877412911194,12.401578584295512,0.9173200687721091,11.757819878331153,10.761661764674606,22.733712413261376,7.0927953594620385,2.966666666666667,75.5,1.0313175613070604,1.0276211211079924
W.P. Labuan,2025,604.37,4.6141299273595635,9.071104856014323,8.85092610809558,0.802375362217394,11.364730207636896,7.436617265234227,16.818632309217044,3.799973501619523,4.8,66.26666666666667,0.9875567086018628,1.0458778165411955
W.P. Putrajaya,2025,3146.484,4.793308128103486,9.572613596260153,9.536123324070916,0.9641674730894254,11.687060747138805,7.478169694159785,14.656172328086164,4.107041393016508,1.5333333333333332,77.66666666666667,1.1390450305763173,0.9645970498998855
